FIPS,STATE,COUNTY,ARC
37011,North Carolina,Avery,TRUE
37021,North Carolina,Buncombe,TRUE
37023,North Carolina,Burke,TRUE
37027,North Carolina,Caldwell,TRUE
37035,North Carolina,Catawba,TRUE
37039,North Carolina,Cherokee,TRUE
37043,North Carolina,Clay,TRUE
37045,North Carolina,Cleveland,TRUE
37059,North Carolina,Davie,TRUE
37067,North Carolina,Forsyth,TRUE
37075,North Carolina,Graham,TRUE
37087,North Carolina,Haywood,TRUE
37089,North Carolina,Henderson,TRUE
37099,North Carolina,Jackson,TRUE
37111,North Carolina,McDowell,TRUE
37113,North Carolina,Macon,TRUE
37115,North Carolina,Madison,TRUE
37121,North Carolina,Mitchell,TRUE
37149,North Carolina,Polk,TRUE
37161,North Carolina,Rutherford,TRUE
37169,North Carolina,Stokes,TRUE
37171,North Carolina,Surry,TRUE
37173,North Carolina,Swain,TRUE
37175,North Carolina,Transylvania,TRUE
37189,North Carolina,Watauga,TRUE
37193,North Carolina,Wilkes,TRUE
37197,North Carolina,Yadkin,TRUE
37199,North Carolina,Yancey,TRUE
39001,Ohio,Adams,TRUE
39007,Ohio,Ashtabula,TRUE
39009,Ohio,Athens,TRUE
39013,Ohio,Belmont,TRUE
39015,Ohio,Brown,TRUE
39019,Ohio,Carroll,TRUE
39025,Ohio,Clermont,TRUE
39029,Ohio,Columbiana,TRUE
39031,Ohio,Coshocton,TRUE
39053,Ohio,Gallia,TRUE
39059,Ohio,Guernsey,TRUE
39067,Ohio,Harrison,TRUE
39071,Ohio,Highland,TRUE
39073,Ohio,Hocking,TRUE
39075,Ohio,Holmes,TRUE
39079,Ohio,Jackson,TRUE
39081,Ohio,Jefferson,TRUE
39087,Ohio,Lawrence,TRUE
39099,Ohio,Mahoning,TRUE
39105,Ohio,Meigs,TRUE
39111,Ohio,Monroe,TRUE
39115,Ohio,Morgan,TRUE
39119,Ohio,Muskingum,TRUE
39121,Ohio,Noble,TRUE
39127,Ohio,Perry,TRUE
39131,Ohio,Pike,TRUE
39141,Ohio,Ross,TRUE
39145,Ohio,Scioto,TRUE
39155,Ohio,Trumbull,TRUE
39157,Ohio,Tuscarawas,TRUE
39163,Ohio,Vinton,TRUE
39167,Ohio,Washington,TRUE
42003,Pennsylvania,Allegheny,TRUE
42005,Pennsylvania,Armstrong,TRUE
42007,Pennsylvania,Beaver,TRUE
42009,Pennsylvania,Bedford,TRUE
42013,Pennsylvania,Blair,TRUE
42015,Pennsylvania,Bradford,TRUE
42019,Pennsylvania,Butler,TRUE
42021,Pennsylvania,Cambria,TRUE
42023,Pennsylvania,Cameron,TRUE
42025,Pennsylvania,Carbon,TRUE
42027,Pennsylvania,Centre,TRUE
42031,Pennsylvania,Clarion,TRUE
42033,Pennsylvania,Clearfield,TRUE
42035,Pennsylvania,Clinton,TRUE
42037,Pennsylvania,Columbia,TRUE
42039,Pennsylvania,Crawford,TRUE
42047,Pennsylvania,Elk,TRUE
42049,Pennsylvania,Erie,TRUE
42051,Pennsylvania,Fayette,TRUE
42053,Pennsylvania,Forest,TRUE
42057,Pennsylvania,Fulton,TRUE
42059,Pennsylvania,Greene,TRUE
42061,Pennsylvania,Huntingdon,TRUE
42063,Pennsylvania,Indiana,TRUE
42065,Pennsylvania,Jefferson,TRUE
42067,Pennsylvania,Juniata,TRUE
42069,Pennsylvania,Lackawanna,TRUE
42073,Pennsylvania,Lawrence,TRUE
42079,Pennsylvania,Luzerne,TRUE
42081,Pennsylvania,Lycoming,TRUE
42083,Pennsylvania,McKean,TRUE
42085,Pennsylvania,Mercer,TRUE
42087,Pennsylvania,Mifflin,TRUE
42089,Pennsylvania,Monroe,TRUE
42093,Pennsylvania,Montour,TRUE
42097,Pennsylvania,Northumberland,TRUE
42099,Pennsylvania,Perry,TRUE
42103,Pennsylvania,Pike,TRUE
42105,Pennsylvania,Potter,TRUE
42107,Pennsylvania,Schuylkill,TRUE
42109,Pennsylvania,Snyder,TRUE
42111,Pennsylvania,Somerset,TRUE
42113,Pennsylvania,Sullivan,TRUE
42115,Pennsylvania,Susquehanna,TRUE
42117,Pennsylvania,Tioga,TRUE
42119,Pennsylvania,Union,TRUE
42121,Pennsylvania,Venango,TRUE
42123,Pennsylvania,Warren,TRUE
42125,Pennsylvania,Washington,TRUE
42127,Pennsylvania,Wayne,TRUE
42129,Pennsylvania,Westmoreland,TRUE
42131,Pennsylvania,Wyoming,TRUE
45007,South Carolina,Anderson,TRUE
45021,South Carolina,Cherokee,TRUE
45045,South Carolina,Greenville,TRUE
45073,South Carolina,Oconee,TRUE
45077,South Carolina,Pickens,TRUE
45083,South Carolina,Spartanburg,TRUE
45087,South Carolina,Union,TRUE
47001,Tennessee,Anderson,TRUE
47007,Tennessee,Bledsoe,TRUE
47009,Tennessee,Blount,TRUE
47011,Tennessee,Bradley,TRUE
47013,Tennessee,Campbell,TRUE
47015,Tennessee,Cannon,TRUE
47019,Tennessee,Carter,TRUE
47025,Tennessee,Claiborne,TRUE
47027,Tennessee,Clay,TRUE
47029,Tennessee,Cocke,TRUE
47031,Tennessee,Coffee,TRUE
47035,Tennessee,Cumberland,TRUE
47041,Tennessee,De Kalb,TRUE
47049,Tennessee,Fentress,TRUE
47051,Tennessee,Franklin,TRUE
47057,Tennessee,Grainger,TRUE
47059,Tennessee,Greene,TRUE
47061,Tennessee,Grundy,TRUE
47063,Tennessee,Hamblen,TRUE
47065,Tennessee,Hamilton,TRUE
47067,Tennessee,Hancock,TRUE
47073,Tennessee,Hawkins,TRUE
47087,Tennessee,Jackson,TRUE
47089,Tennessee,Jefferson,TRUE
47091,Tennessee,Johnson,TRUE
47093,Tennessee,Knox,TRUE
47099,Tennessee,Lawrence,TRUE
47101,Tennessee,Lewis,TRUE
47105,Tennessee,Loudon,TRUE
47107,Tennessee,McMinn,TRUE
47111,Tennessee,Macon,TRUE
47115,Tennessee,Marion,TRUE
47121,Tennessee,Meigs,TRUE
47123,Tennessee,Monroe,TRUE
47129,Tennessee,Morgan,TRUE
47133,Tennessee,Overton,TRUE
47137,Tennessee,Pickett,TRUE
47139,Tennessee,Polk,TRUE
47141,Tennessee,Putnam,TRUE
47143,Tennessee,Rhea,TRUE
47145,Tennessee,Roane,TRUE
47151,Tennessee,Scott,TRUE
